chr	bin_start	bin_end	bin_len	chr_ind	bin_ind	mappability_score
chr1	1	1000000	999999	1	1	0.287676
chr1	1000000	2000000	1000000	1	2	0.938273
chr1	2000000	3000000	1000000	1	3	0.893258
chr1	3000000	4000000	1000000	1	4	0.993757
chr1	4000000	5000000	1000000	1	5	0.99371
chr1	5000000	6000000	1000000	1	6	0.9937
chr1	6000000	7000000	1000000	1	7	0.995303
chr1	7000000	8000000	1000000	1	8	0.991716
chr1	8000000	9000000	1000000	1	9	0.995518
chr1	9000000	10000000	1000000	1	10	0.996602
chr1	10000000	11000000	1000000	1	11	0.9981
chr1	11000000	12000000	1000000	1	12	0.994107
chr1	12000000	13000000	1000000	1	13	0.876777
chr1	13000000	14000000	1000000	1	14	0.745068
chr1	14000000	15000000	1000000	1	15	0.994111
chr1	15000000	16000000	1000000	1	16	0.99706
chr1	16000000	17000000	1000000	1	17	0.82921
chr1	17000000	18000000	1000000	1	18	0.998697
chr1	18000000	19000000	1000000	1	19	0.997968
chr1	19000000	20000000	1000000	1	20	0.997259
chr1	20000000	21000000	1000000	1	21	0.994716
chr1	21000000	22000000	1000000	1	22	0.978586
chr1	22000000	23000000	1000000	1	23	0.994768
chr1	23000000	24000000	1000000	1	24	0.992644
chr1	24000000	25000000	1000000	1	25	0.993831
chr1	25000000	26000000	1000000	1	26	0.948381
chr1	26000000	27000000	1000000	1	27	0.991849
chr1	27000000	28000000	1000000	1	28	0.992691
chr1	28000000	29000000	1000000	1	29	0.995135
chr1	29000000	30000000	1000000	1	30	0.992887
chr1	30000000	31000000	1000000	1	31	0.98688
chr1	31000000	32000000	1000000	1	32	0.996677
chr1	32000000	33000000	1000000	1	33	0.995188
chr1	33000000	34000000	1000000	1	34	0.989737
chr1	34000000	35000000	1000000	1	35	0.982286
chr1	35000000	36000000	1000000	1	36	0.9962
chr1	36000000	37000000	1000000	1	37	0.997382
chr1	37000000	38000000	1000000	1	38	0.99209
chr1	38000000	39000000	1000000	1	39	0.99443
chr1	39000000	40000000	1000000	1	40	0.975807
chr1	40000000	41000000	1000000	1	41	0.991053
chr1	41000000	42000000	1000000	1	42	0.990706
chr1	42000000	43000000	1000000	1	43	0.990617
chr1	43000000	44000000	1000000	1	44	0.993787
chr1	44000000	45000000	1000000	1	45	0.99657
chr1	45000000	46000000	1000000	1	46	0.983975
chr1	46000000	47000000	1000000	1	47	0.970635
chr1	47000000	48000000	1000000	1	48	0.974786
chr1	48000000	49000000	1000000	1	49	0.983367
chr1	49000000	50000000	1000000	1	50	0.969073
chr1	50000000	51000000	1000000	1	51	0.992322
chr1	51000000	52000000	1000000	1	52	0.99369
chr1	52000000	53000000	1000000	1	53	0.993604
chr1	53000000	54000000	1000000	1	54	0.995825
chr1	54000000	55000000	1000000	1	55	0.994579
chr1	55000000	56000000	1000000	1	56	0.991501
chr1	56000000	57000000	1000000	1	57	0.991742
chr1	57000000	58000000	1000000	1	58	0.996009
chr1	58000000	59000000	1000000	1	59	0.97795
chr1	59000000	60000000	1000000	1	60	0.984285
chr1	60000000	61000000	1000000	1	61	0.979042
chr1	61000000	62000000	1000000	1	62	0.996325
chr1	62000000	63000000	1000000	1	63	0.992814
chr1	63000000	64000000	1000000	1	64	0.991803
chr1	64000000	65000000	1000000	1	65	0.989979
chr1	65000000	66000000	1000000	1	66	0.978911
chr1	66000000	67000000	1000000	1	67	0.985349
chr1	67000000	68000000	1000000	1	68	0.988933
chr1	68000000	69000000	1000000	1	69	0.98266
chr1	69000000	70000000	1000000	1	70	0.980297
chr1	70000000	71000000	1000000	1	71	0.990072
chr1	71000000	72000000	1000000	1	72	0.981586
chr1	72000000	73000000	1000000	1	73	0.991825
chr1	73000000	74000000	1000000	1	74	0.994397
chr1	74000000	75000000	1000000	1	75	0.982967
chr1	75000000	76000000	1000000	1	76	0.976238
chr1	76000000	77000000	1000000	1	77	0.991244
chr1	77000000	78000000	1000000	1	78	0.987282
chr1	78000000	79000000	1000000	1	79	0.985102
chr1	79000000	80000000	1000000	1	80	0.986782
chr1	80000000	81000000	1000000	1	81	0.979157
chr1	81000000	82000000	1000000	1	82	0.996045
chr1	82000000	83000000	1000000	1	83	0.987078
chr1	83000000	84000000	1000000	1	84	0.901276
chr1	84000000	85000000	1000000	1	85	0.98959
chr1	85000000	86000000	1000000	1	86	0.968125
chr1	86000000	87000000	1000000	1	87	0.977384
chr1	87000000	88000000	1000000	1	88	0.996684
chr1	88000000	89000000	1000000	1	89	0.993869
chr1	89000000	90000000	1000000	1	90	0.978488
chr1	90000000	91000000	1000000	1	91	0.988613
chr1	91000000	92000000	1000000	1	92	0.980332
chr1	92000000	93000000	1000000	1	93	0.98823
chr1	93000000	94000000	1000000	1	94	0.984897
chr1	94000000	95000000	1000000	1	95	0.99224
chr1	95000000	96000000	1000000	1	96	0.993849
chr1	96000000	97000000	1000000	1	97	0.978792
chr1	97000000	98000000	1000000	1	98	0.989543
chr1	98000000	99000000	1000000	1	99	0.989798
chr1	99000000	100000000	1000000	1	100	0.987212
chr1	100000000	101000000	1000000	1	101	0.990357
chr1	101000000	102000000	1000000	1	102	0.995118
chr1	102000000	103000000	1000000	1	103	0.983059
chr1	103000000	104000000	1000000	1	104	0.839296
chr1	104000000	105000000	1000000	1	105	0.976698
chr1	105000000	106000000	1000000	1	106	0.986662
chr1	106000000	107000000	1000000	1	107	0.993977
chr1	107000000	108000000	1000000	1	108	0.99399
chr1	108000000	109000000	1000000	1	109	0.81328
chr1	109000000	110000000	1000000	1	110	0.983032
chr1	110000000	111000000	1000000	1	111	0.995639
chr1	111000000	112000000	1000000	1	112	0.989595
chr1	112000000	113000000	1000000	1	113	0.98245
chr1	113000000	114000000	1000000	1	114	0.978466
chr1	114000000	115000000	1000000	1	115	0.991739
chr1	115000000	116000000	1000000	1	116	0.989033
chr1	116000000	117000000	1000000	1	117	0.981906
chr1	117000000	118000000	1000000	1	118	0.988407
chr1	118000000	119000000	1000000	1	119	0.976582
chr1	119000000	120000000	1000000	1	120	0.976231
chr1	120000000	121000000	1000000	1	121	0.336653
chr1	121000000	122000000	1000000	1	122	0.401224
chr1	122000000	123000000	1000000	1	123	0.0792049
chr1	123000000	124000000	1000000	1	124	0
chr1	124000000	125000000	1000000	1	125	0.104412
chr1	125000000	126000000	1000000	1	126	0.162089
chr1	126000000	127000000	1000000	1	127	0
chr1	127000000	128000000	1000000	1	128	0
chr1	128000000	129000000	1000000	1	129	0
chr1	129000000	130000000	1000000	1	130	0
chr1	130000000	131000000	1000000	1	131	0
chr1	131000000	132000000	1000000	1	132	0
chr1	132000000	133000000	1000000	1	133	0
chr1	133000000	134000000	1000000	1	134	0
chr1	134000000	135000000	1000000	1	135	0
chr1	135000000	136000000	1000000	1	136	0
chr1	136000000	137000000	1000000	1	137	0
chr1	137000000	138000000	1000000	1	138	0
chr1	138000000	139000000	1000000	1	139	0
chr1	139000000	140000000	1000000	1	140	0
chr1	140000000	141000000	1000000	1	141	0
chr1	141000000	142000000	1000000	1	142	0
chr1	142000000	143000000	1000000	1	143	0
chr1	143000000	144000000	1000000	1	144	0.383082
